element_id,part_num,color_id,design_id
4190230,973c26h01pr0391,19,
6208370,90462pr0004,82,
6248426,90462pr0004,82,39883
4116792,32083,0,32083
4162876,41855,4,41855
82493,6153apr0002,0,
4552507,973c03h03pr1510,0,76382
6052829,62885,0,62885
75851,973c22h01pr0249,4,
75217,973c03h03pr0143,0,
4141194,22809,25,
4169200,42445,0,42445
4169079,4066pr0082,14,
4262237,51217pr0001,70,
6493220,28621pr9844,27,
4272150,3297pr0018,15,
4610371,92907,0,92907
4124012,6895a,15,6895
6217369,12891pr0002,15,
4552541,973c03h03pr1513,0,76382
6038654,93069,0,93069
395826,3958,0,3958
4159140,2339,0,2339
4128558,4088pr0002,15,
4153515,40905,10,40905
4214730,31005pr0021,4,
4269314,51462,1006,53372
4140667,32169pr0009,0,
4142184,3146c01,4,
6131896,63864,19,63864
4141383,33261,462,76343
4116831,71845,0,71845
4292098,50920,0,50920
4295007,50922,0,50922
4506799,42450,0,42450
6566235,973e108pr0002,27,
4609588,93217,0,93217
4649165,98108,0,98108
6431185,102498pat0001,0,102498
4156798,33009,0,33009
4128517,22641pr0001,4,
6477847,970c32pr2263,73,
6493222,36036pr9980,0,
4119201,2715pr0005,4,
4176373,3437pr0017,25,
6568568,7236pr0001,71,114631
6615793,970c27pat44pr0001,15,
6317696,60191pr0002,321,69734
4218822,973c26h01pr0004,0,73403
6600503,10117001,9999,117001
4120222,22205,115,72950
6591870,79491,29,79491
6544223,37597c64,72,113274
4112994,879c03,41,76128
6097708,30165,5,
4142783,32344c01,15,23313
6558683,5057,25,5057
4114318,6092pr0002,19,
6580422,10115251,9999,115251
4143713,76356,1,
4121508,30271pr0002,2,
4224258,973e012pr0349,0,
4144479,970c03pr0011,0,
4185522,45644pr0001,15,
4141681,3004pr9989,14,
4140306,22494,4,
6144533,25999,19,
4129899,83876pr0001,13,
6238365,90462pr0004,82,
76243,33037c01,15,
4121869,22205,1,
6472047,3680c02,15,106714
821423,821423,9999,
6514162,22385,47,35339
4221289,48933pr0007,70,
190805,190805,9999,
4119378,72565,18,
4128513,22639,4,
6223476,98088pat0003,320,98088
4116654,30080c02,7,
6336927,51274,308,51274
4560465,85863pr0018,4,
6519729,7095,15,7095
